
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep 1740/3000 | Avg_Score:      9 | Avg_Pieces: 32 | Avg_Lines: 1 | Avg_Loss: 431.9091 | ε: 0.410
Ep 1750/3000 | Avg_Score:     22 | Avg_Pieces: 34 | Avg_Lines: 2 | Avg_Loss: 427.3904 | ε: 0.407
Ep 1760/3000 | Avg_Score:     18 | Avg_Pieces: 35 | Avg_Lines: 2 | Avg_Loss: 389.2037 | ε: 0.403
Ep 1770/3000 | Avg_Score:     14 | Avg_Pieces: 32 | Avg_Lines: 1 | Avg_Loss: 389.8910 | ε: 0.400
Ep 1780/3000 | Avg_Score:     17 | Avg_Pieces: 33 | Avg_Lines: 1 | Avg_Loss: 394.8937 | ε: 0.396
Ep 1790/3000 | Avg_Score:     14 | Avg_Pieces: 31 | Avg_Lines: 1 | Avg_Loss: 358.5495 | ε: 0.393
Ep 1800/3000 | Avg_Score:     10 | Avg_Pieces: 34 | Avg_Lines: 1 | Avg_Loss: 399.6688 | ε: 0.390
Ep 1810/3000 | Avg_Score:     24 | Avg_Pieces: 37 | Avg_Lines: 2 | Avg_Loss: 326.7285 | ε: 0.386
Ep 1820/3000 | Avg_Score:     13 | Avg_Pieces: 32 | Avg_Lines: 1 | Avg_Loss: 348.7945 | ε: 0.383
Ep 1830/3000 | Avg_Score:     27 | Avg_Pieces: 33 | Avg_Lines: 2 | Avg_Loss: 320.3154 | ε: 0.379
Ep 1840/3000 | Avg_Score:     32 | Avg_Pieces: 36 | Avg_Lines: 2 | Avg_Loss: 308.3164 | ε: 0.376
Ep 1850/3000 | Avg_Score:     35 | Avg_Pieces: 38 | Avg_Lines: 3 | Avg_Loss: 316.2685 | ε: 0.373
